id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Reilly;Sauer;Misty21@yahoo.com;absent regarding instead;2023-12-30T20:56:30;23589;18089
2;Daryl;Hagenes;Erick_Altenwerth@gmail.com;indeed meaningfully reassess;2023-12-30T19:21:30;23746;5486
3;Mayra;Stoltenberg;Emma_Frami@gmail.com;lined;2023-12-30T11:54:23;9153;29092
4;Moses;Hagenes;Thelma55@gmail.com;including;2023-12-31T07:26:04;15769;3609
5;Kasandra;Kris;Dominique32@yahoo.com;er;2023-12-30T09:53:13;19403;29671
6;Isaac;Olson;Saige.Marvin13@yahoo.com;majestically pfft inquiry;2023-12-30T20:07:17;32708;24055
7;Keeley;Schimmel;Sarina_Emard24@yahoo.com;boohoo;2023-12-30T10:40:17;16168;26491
8;Gabrielle;Weissnat;Laura.Davis@hotmail.com;finally;2023-12-30T21:41:36;19033;9551
9;Angelica;Hoeger;Manuela.Satterfield@gmail.com;though geez;2023-12-30T16:01:44;9764;2221
10;Chad;Pouros;Tom_Runolfsson49@gmail.com;closed too;2023-12-31T03:15:52;30910;20640
